Country,Customer ID,revenue,country_customer_rank
Australia,12415.0,144458.37,1
Australia,12431.0,7699.79,2
Australia,12388.0,3901.11,3
Australia,12424.0,3340.03,4
Australia,12422.0,2808.1,5
Australia,12393.0,2399.4500000000003,6
Australia,12389.0,1433.33,7
Australia,12434.0,1103.43,8
Australia,16321.0,604.5500000000001,9
Australia,12386.0,401.90000000000003,10
Australia,12411.0,346.9,11
Australia,12392.0,234.75000000000003,12
Australia,12400.0,205.25,13
Australia,12416.0,202.56,14
Australia,12387.0,143.94,15
Austria,12360.0,4252.89,1
Austria,12358.0,3887.07,2
Austria,12865.0,3323.4700000000003,3
Austria,12374.0,2989.2200000000003,4
Austria,12369.0,1791.15,5
Austria,12818.0,1542.0800000000002,6
Austria,12373.0,1127.65,7
Austria,12370.0,1051.82,8
Austria,12414.0,952.41,9
Austria,12440.0,859.2,10
Austria,12453.0,707.09,11
Austria,12817.0,690.98,12
Austria,12429.0,437.98,13
Bahrain,12355.0,947.61,1
Bahrain,12353.0,406.76,2
Belgium,12380.0,9676.300000000001,1
Belgium,12417.0,6159.05,2
Belgium,12362.0,5356.2300000000005,3
Belgium,12395.0,4721.17,4
Belgium,12408.0,4340.77,5
Belgium,12876.0,4081.79,6
Belgium,12449.0,4067.29,7
Belgium,12431.0,2732.43,8
Belgium,12397.0,2409.9,9
Belgium,12423.0,2323.59,10
Belgium,12399.0,1962.3,11
Belgium,12385.0,1938.4,12
Belgium,12383.0,1850.56,13
Belgium,12407.0,1708.12,14
Belgium,12379.0,1620.22,15
Belgium,12463.0,1344.78,16
Belgium,12364.0,1313.1,17
Belgium,12402.0,1256.9,18
Belgium,12866.0,1227.35,19
Belgium,12464.0,1212.05,20
Belgium,12874.0,948.42,21
Belgium,12465.0,742.19,22
Belgium,12390.0,549.84,23
Belgium,12361.0,511.25,24
Belgium,12447.0,476.49,25
Belgium,12394.0,381.08,26
Belgium,12460.0,326.65,27
Belgium,12401.0,84.3,28
Belgium,13022.0,65.3,29
Brazil,12769.0,1143.6,1
Brazil,12751.0,268.27,2
Canada,17444.0,2940.04,1
Canada,15390.0,1216.66,2
Canada,17443.0,534.24,3
Canada,15388.0,140.54,4
