Description,revenue,product_rank
REGENCY CAKESTAND 3 TIER,277656.25,1
WHITE HANGING HEART T-LIGHT HOLDER,247048.01,2
"PAPER CRAFT , LITTLE BIRDIE",168469.6,3
Manual,151777.67,4
JUMBO BAG RED RETROSPOT,134307.44,5
POSTAGE,124648.04,6
ASSORTED COLOUR BIRD ORNAMENT,124351.86,7
PARTY BUNTING,103283.38,8
MEDIUM CERAMIC TOP STORAGE JAR,81416.73000000001,9
PAPER CHAIN KIT 50'S CHRISTMAS ,76598.18000000001,10
CHILLI LIGHTS,69084.3,11
JUMBO BAG STRAWBERRY,64127.77,12
BLACK RECORD COVER FRAME,63092.12,13
ROTATING SILVER ANGELS T-LIGHT HLDR,55880.17,14
WOOD BLACK BOARD ANT WHITE FINISH,54525.36,15
VINTAGE UNION JACK BUNTING,54432.62,16
EDWARDIAN PARASOL NATURAL,54332.61,17
JUMBO  BAG BAROQUE BLACK WHITE,52188.18,18
RABBIT NIGHT LIGHT,51251.24,19
HEART OF WICKER LARGE,49859.50000000001,20
RED HANGING HEART T-LIGHT HOLDER,48850.6,21
JUMBO STORAGE BAG SUKI,47760.99,22
CREAM HEART CARD HOLDER,47414.200000000004,23
EDWARDIAN PARASOL BLACK,45885.07,24
VICTORIAN GLASS HANGING T-LIGHT,45746.75,25
CHOCOLATE HOT WATER BOTTLE,45601.340000000004,26
JUMBO SHOPPER VINTAGE RED PAISLEY,45059.13,27
PAPER CHAIN KIT VINTAGE CHRISTMAS,44998.270000000004,28
VINTAGE UNION JACK MEMOBOARD,44785.83,29
PLEASE ONE PERSON METAL SIGN,44310.600000000006,30
JUMBO BAG PINK POLKADOT,43319.16,31
HEART OF WICKER SMALL,43316.54,32
JUMBO BAG PINK VINTAGE PAISLEY,43313.9,33
BAKING SET 9 PIECE RETROSPOT ,43070.91,34
RED RETROSPOT CAKE STAND,42862.74,35
SCOTTIE DOG HOT WATER BOTTLE,42463.200000000004,36
HOME BUILDING BLOCK WORD,42453.11,37
RED TOADSTOOL LED NIGHT LIGHT,41824.26,38
GIN + TONIC DIET METAL SIGN,40940.78,39
NATURAL SLATE HEART CHALKBOARD ,40276.170000000006,40
ROUND SNACK BOXES SET OF4 WOODLAND ,40219.82,41
DOORMAT UNION FLAG,40053.72,42
WOODEN FRAME ANTIQUE WHITE ,39909.170000000006,43
LUNCH BAG  BLACK SKULL.,39904.0,44
