Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12346.0,326,12,77556.46,2,5,5,255,At Risk
12347.0,2,8,4921.53,5,4,5,545,VIP
12348.0,75,5,2019.3999999999999,3,4,4,344,Regular
12349.0,19,4,4428.6900000000005,5,3,5,535,Regular
12350.0,310,1,334.40000000000003,2,1,2,212,Regular
12351.0,375,1,300.93,2,1,2,212,Regular
12352.0,36,10,2849.84,4,5,4,454,VIP
12353.0,204,2,406.76,2,2,2,222,Regular
12354.0,232,1,1079.4,2,1,3,213,Regular
12355.0,214,2,947.61,2,2,3,223,Regular
12356.0,23,6,6371.7300000000005,4,4,5,445,VIP
12357.0,33,3,18287.66,4,3,5,435,Regular
12358.0,2,5,3887.07,5,4,5,545,VIP
12359.0,58,10,8873.39,4,5,5,455,VIP
12360.0,52,8,4252.89,4,4,5,445,VIP
12361.0,287,4,511.25,2,3,2,232,At Risk
12362.0,3,11,5356.2300000000005,5,5,5,555,VIP
12363.0,110,2,552.0,3,2,2,322,Regular
12364.0,8,4,1313.1,5,3,4,534,Regular
12365.0,291,2,641.38,2,2,3,223,Regular
12366.0,634,1,500.24,1,1,2,112,Regular
12367.0,4,1,168.9,5,1,1,511,Regular
12368.0,628,1,917.7,1,1,3,113,Regular
12369.0,413,3,1791.15,1,3,4,134,Regular
12370.0,51,7,4316.56,4,4,5,445,VIP
12371.0,45,5,4067.38,4,4,5,445,VIP
12372.0,72,3,1298.04,3,3,4,334,Regular
12373.0,311,3,1127.65,2,3,3,233,Regular
12374.0,25,4,2989.2200000000003,4,3,5,435,Regular
12375.0,11,2,457.5,5,2,2,522,Regular
12376.0,390,2,503.15,2,2,2,222,Regular
12377.0,315,4,3426.32,2,3,5,235,At Risk
12378.0,130,2,5416.32,3,2,5,325,Regular
12379.0,82,4,1620.22,3,3,4,334,Regular
12380.0,22,11,9676.300000000001,4,5,5,455,VIP
12381.0,5,5,1845.31,5,4,4,544,VIP
12383.0,185,5,1850.56,3,4,4,344,Regular
12384.0,29,2,585.27,4,2,2,422,Regular
12385.0,379,1,1938.4,2,1,4,214,Regular
12386.0,338,2,401.9,2,2,2,222,Regular
12387.0,415,1,143.94,1,1,1,111,Regular
12388.0,16,8,3901.11,5,4,5,545,VIP
12389.0,403,3,1433.33,2,3,4,234,Regular
12390.0,80,1,549.84,3,1,2,312,Regular
12391.0,22,6,2724.84,4,4,4,444,VIP
12392.0,591,1,234.75000000000003,1,1,1,111,Regular
12393.0,72,6,2399.45,3,4,4,344,Regular
12394.0,64,2,1272.48,3,2,4,324,Regular
12395.0,19,15,4721.17,5,5,5,555,VIP
12396.0,674,1,931.4300000000001,1,1,3,113,Regular
12397.0,36,2,2409.9,4,2,4,424,Regular
12398.0,46,1,1635.6599999999999,4,1,4,414,Regular
12399.0,119,7,1962.3,3,4,4,344,Regular
12400.0,414,1,205.25,1,1,1,111,Regular
12401.0,303,1,84.3,2,1,1,211,Regular
12402.0,323,6,1256.9,2,4,4,244,At Risk
12403.0,50,2,1019.36,4,2,3,423,Regular
12404.0,682,1,63.24,1,1,1,111,Regular
12405.0,149,1,1710.39,3,1,4,314,Regular
12406.0,22,5,6390.36,4,4,5,445,VIP
12407.0,50,5,1708.12,4,4,4,444,VIP
12408.0,33,8,4340.77,4,4,5,445,VIP
12409.0,79,7,23419.29,3,4,5,345,Regular
12410.0,309,3,1013.71,2,3,3,233,Regular
12411.0,410,1,346.9,2,1,2,212,Regular
12412.0,75,6,2596.93,3,4,4,344,Regular
12413.0,67,4,999.45,3,3,3,333,Regular
12414.0,217,6,952.4100000000001,2,4,3,243,At Risk
12415.0,24,28,144458.37,4,5,5,455,VIP
12416.0,657,1,202.56,1,1,1,111,Regular
12417.0,3,20,6797.41,5,5,5,555,VIP
12418.0,113,4,2021.2,3,3,4,334,Regular
12419.0,386,2,503.01,2,2,2,222,Regular
12420.0,64,1,600.39,3,1,2,312,Regular
12421.0,16,6,1098.6,5,4,3,543,Regular
12422.0,96,17,5231.8,3,5,5,355,Regular
12423.0,1,10,2622.39,5,5,4,554,VIP
12424.0,163,4,3340.0299999999997,3,3,5,335,Regular
12425.0,78,2,1741.41,3,2,4,324,Regular
12426.0,195,2,1345.21,2,2,4,224,Regular
12427.0,22,3,825.8000000000001,4,3,3,433,Regular
12428.0,26,9,7956.46,4,5,5,455,VIP
12429.0,9,8,6204.41,5,4,5,545,VIP
12430.0,43,1,256.4,4,1,1,411,Regular
12431.0,36,27,10432.220000000001,4,5,5,455,VIP
12432.0,43,5,5059.32,4,4,5,445,VIP
12433.0,1,10,16794.14,5,5,5,555,VIP
12434.0,85,3,1103.43,3,3,3,333,Regular
12435.0,80,6,13925.93,3,4,5,345,Regular
12436.0,100,1,509.01,3,1,2,312,Regular
12437.0,2,39,12683.4,5,5,5,555,VIP
12438.0,14,2,2906.85,5,2,4,524,Regular
12439.0,683,2,1142.88,1,2,3,123,Regular
12440.0,462,2,859.2,1,2,3,123,Regular
12441.0,367,1,173.55,2,1,1,211,Regular
12442.0,3,1,172.06,5,1,1,511,Regular
12443.0,732,1,485.31,1,1,2,112,Regular
12444.0,21,5,5005.46,4,4,5,445,VIP
12445.0,22,2,434.98,4,2,2,422,Regular
12446.0,58,1,1002.3100000000001,4,1,3,413,Regular
12447.0,243,1,476.49,2,1,2,212,Regular
12448.0,44,1,449.45,4,1,2,412,Regular
12449.0,22,6,4835.89,4,4,5,445,VIP
12450.0,156,5,688.2,3,4,3,343,Regular
12451.0,11,8,12669.88,5,4,5,545,VIP
12452.0,17,2,430.57000000000005,5,2,2,522,Regular
12453.0,134,1,707.09,3,1,3,313,Regular
12454.0,56,5,16679.78,4,4,5,445,VIP
12455.0,73,10,5879.95,3,5,5,355,Regular
12456.0,44,3,3181.04,4,3,5,435,Regular
12457.0,66,8,2995.91,3,4,5,345,Regular
12458.0,71,4,1777.49,3,3,4,334,Regular
12459.0,605,1,454.36,1,1,2,112,Regular
12460.0,456,1,326.65,1,1,2,112,Regular
12461.0,94,2,826.88,3,2,3,323,Regular
12462.0,19,2,1189.59,5,2,3,523,Regular
12463.0,53,4,1344.78,4,3,4,434,Regular
12464.0,10,8,1212.05,5,4,3,543,Regular
12465.0,17,2,742.19,5,2,3,523,Regular
12466.0,682,1,56.73,1,1,1,111,Regular
12467.0,423,1,132.8,1,1,1,111,Regular
12468.0,188,5,3670.7400000000002,3,4,5,345,Regular
12469.0,523,2,3070.54,1,2,5,125,Regular
12470.0,690,1,211.95,1,1,1,111,Regular
12471.0,2,79,39918.19,5,5,5,555,VIP
12472.0,32,19,16249.29,4,5,5,455,VIP
12473.0,29,5,3928.05,4,4,5,445,VIP
12474.0,17,31,12372.75,5,5,5,555,VIP
12475.0,54,2,1149.64,4,2,3,423,Regular
12476.0,16,23,14083.91,5,5,5,555,VIP
12477.0,23,9,20276.37,4,5,5,455,VIP
12478.0,4,1,680.99,5,1,3,513,Regular
12479.0,11,1,527.2,5,1,2,512,Regular
12480.0,28,7,5464.85,4,4,5,445,VIP
12481.0,23,15,12185.51,4,5,5,455,VIP
12482.0,576,29,23691.4,1,5,5,155,At Risk
12483.0,17,19,5097.18,5,5,5,555,VIP
12484.0,33,12,6354.1,4,5,5,455,VIP
12485.0,529,1,708.1,1,1,3,113,Regular
12486.0,432,1,1037.28,1,1,3,113,Regular
12487.0,731,1,285.3,1,1,1,111,Regular
12488.0,10,3,1298.66,5,3,4,534,Regular
12489.0,336,1,334.93,2,1,2,212,Regular
12490.0,5,21,9823.64,5,5,5,555,VIP
12491.0,39,1,460.40000000000003,4,1,2,412,Regular
12492.0,63,3,715.21,3,3,3,333,Regular
12493.0,166,2,433.74,3,2,2,322,Regular
12494.0,16,9,1815.27,5,5,4,554,VIP
12495.0,641,1,357.4,1,1,2,112,Regular
12496.0,620,2,45.34,1,2,1,121,Regular
